timestamp,open,high,low,close,volume
2024-07-08 04:00:00,63.78,63.81,63.71,63.78,181
2024-07-08 04:01:00,63.77,63.78,63.77,63.77,16
2024-07-08 04:02:00,63.77,63.77,63.77,63.77,23
2024-07-08 04:03:00,63.77,63.77,63.77,63.77,1
2024-07-08 04:05:00,63.78,63.78,63.77,63.77,70
2024-07-08 04:06:00,63.77,63.77,63.77,63.77,1
2024-07-08 04:07:00,63.78,63.78,63.78,63.78,10
2024-07-08 04:08:00,63.8,63.8,63.8,63.8,25
2024-07-08 04:13:00,63.81,63.81,63.81,63.81,1
2024-07-08 04:16:00,63.8,63.82,63.8,63.82,41
2024-07-08 04:19:00,63.78,63.78,63.78,63.78,2
2024-07-08 04:21:00,63.78,63.78,63.78,63.78,5
2024-07-08 04:23:00,63.78,63.78,63.78,63.78,26
2024-07-08 04:25:00,63.78,63.78,63.78,63.78,2
2024-07-08 04:27:00,63.8,63.8,63.77,63.78,30
2024-07-08 04:28:00,63.77,63.82,63.77,63.82,64
2024-07-08 04:30:00,63.82,63.82,63.78,63.78,15
2024-07-08 04:31:00,63.82,63.82,63.82,63.82,6
2024-07-08 04:32:00,63.78,63.78,63.78,63.78,2
2024-07-08 04:33:00,63.82,63.82,63.78,63.78,2
2024-07-08 04:34:00,63.82,63.82,63.82,63.82,206
2024-07-08 04:35:00,63.78,63.78,63.78,63.78,6
2024-07-08 04:36:00,63.79,63.79,63.79,63.79,1
2024-07-08 04:39:00,63.82,63.83,63.82,63.83,6
2024-07-08 04:40:00,63.82,63.82,63.79,63.79,21
2024-07-08 04:41:00,63.83,63.83,63.83,63.83,16
2024-07-08 04:42:00,63.82,63.82,63.82,63.82,4
2024-07-08 04:44:00,63.8,63.8,63.8,63.8,1
2024-07-08 04:45:00,63.78,63.8,63.77,63.77,150
2024-07-08 04:46:00,63.78,63.78,63.78,63.78,45
2024-07-08 04:47:00,63.8,63.8,63.8,63.8,3
2024-07-08 04:48:00,63.78,63.78,63.78,63.78,40
2024-07-08 04:51:00,63.78,63.78,63.78,63.78,2
2024-07-08 04:52:00,63.78,63.78,63.78,63.78,11
2024-07-08 04:53:00,63.78,63.78,63.78,63.78,2
2024-07-08 04:57:00,63.78,63.78,63.78,63.78,5
2024-07-08 04:58:00,63.8,63.8,63.8,63.8,10
2024-07-08 04:59:00,63.8,63.81,63.8,63.81,40
2024-07-08 05:08:00,63.8,63.8,63.8,63.8,1
2024-07-08 05:13:00,63.8,63.8,63.8,63.8,1
2024-07-08 05:15:00,63.8,63.8,63.8,63.8,1
2024-07-08 05:16:00,63.8,63.8,63.8,63.8,1
2024-07-08 05:17:00,63.82,63.82,63.8,63.8,9
2024-07-08 05:18:00,63.79,63.79,63.78,63.78,4
2024-07-08 05:21:00,63.82,63.83,63.82,63.83,12
2024-07-08 05:22:00,63.81,63.82,63.81,63.82,20
2024-07-08 05:24:00,63.83,63.83,63.83,63.83,1
2024-07-08 05:26:00,63.8,63.8,63.79,63.79,8
2024-07-08 05:28:00,63.81,63.82,63.81,63.82,8
2024-07-08 05:29:00,63.8,63.8,63.8,63.8,100
2024-07-08 05:30:00,63.8,63.8,63.79,63.79,157
